날짜,종가,전일비,시가,고가,저가,거래량,MA5,MA20,MA60,RSI,MACD,MACD_Signal,MACD_Histogram,평균거래량,거래량비율,거래량신호,골든크로스,데드크로스,MACD_골든크로스
2025-03-06,45100,"상승
				2,000",43500,45400,42550,6180767,43540.0,41607.5,,65.39896308993268,1171.7403619833567,856.2277267182549,315.51263526510184,4825552.75,1.2808412466323158,False,False,False,False
2025-03-07,43750,"하락
				1,350",44450,44825,43450,3099161,43400.0,41530.0,,59.48392456917358,1212.2424361682351,927.4306686082509,284.8117675599842,4524455.85,0.6849798302264349,False,False,False,False
2025-03-10,45400,"상승
				1,650",43500,45950,43150,4010592,43850.0,41575.0,,63.794152985324345,1361.7840334792563,1014.3013415824521,347.4826918968042,4469863.75,0.8972515101830565,False,False,False,False
2025-03-11,44100,"하락
				1,300",43900,44700,43550,2486551,44290.0,41655.0,,58.51254688787252,1359.7236435265877,1083.3858019712793,276.3378415553084,4286053.9,0.5801492603721106,False,False,False,False
2025-03-12,44100,보합0,44250,44650,43450,1976354,44490.0,41717.5,,58.51254688787252,1342.6139517570991,1135.2314319284433,207.38251982865586,4215492.5,0.46883110336455347,False,False,False,False
2025-03-13,43150,"하락
				950",44150,44750,42350,3269454,44100.0,41775.0,,54.67607448079781,1238.1250029148287,1155.8101461257204,82.31485678910826,4231889.35,0.7725754927878727,False,False,False,False
2025-03-14,43450,"상승
				300",43100,44050,43100,1733603,44040.0,41937.5,,55.66466269059167,1166.082379144791,1157.8645927295345,8.217786415256569,3912405.75,0.44310409266728024,False,False,False,False
2025-03-17,43500,"상승
				50",43500,43850,42300,1693348,43660.0,42175.0,,55.83755451484943,1100.3386439500828,1146.3594029736441,-46.02075902356137,3692487.1,0.4585928005002374,False,False,False,False
2025-03-18,44000,"상승
				500",43700,45050,43500,2475410,43640.0,42422.5,,57.61745670509801,1076.1765876699064,1132.3228399128966,-56.14625224299016,3659667.35,0.6764030069563562,False,False,False,False
2025-03-19,43300,"하락
				700",44000,44375,43100,1642570,43480.0,42640.0,,54.31687478551914,989.1416251977498,1103.6865969698672,-114.54497177211738,3611714.45,0.45478955292271234,False,False,False,False
2025-03-20,42650,"하락
				650",43500,43950,42650,1761461,43380.0,42807.5,,51.373948537521194,857.8277187002095,1054.5148213159357,-196.6871026157262,3550893.3,0.49606137137378925,False,False,False,False
2025-03-21,43600,"상승
				950",42650,43600,41900,1900729,43410.0,43000.0,,55.19486324797371,820.9541142511443,1007.8026799029775,-186.84856565183316,3415959.0,0.5564261749043241,False,False,False,False
2025-03-24,41900,"하락
				1,700",43350,43500,41550,1792693,43090.0,43100.0,,47.93597801287867,647.0964000616877,935.6614239347197,-288.5650238730319,3382551.0,0.5299825486740629,False,False,True,False
2025-03-25,42200,"상승
				300",42100,42400,41750,827099,42730.0,43232.5,,49.20551354076617,527.4403972060027,854.0172185889763,-326.57682138297366,3332172.6,0.24821613382211954,False,False,False,False
2025-03-26,42900,"상승
				700",42350,43050,41400,1180900,42650.0,43390.0,,52.13814914050934,483.52255568423425,779.918286008028,-296.3957303237937,3315939.85,0.35612829346105296,False,False,False,False
2025-03-27,41600,"하락
				1,300",42300,42350,41200,1360153,42440.0,43365.0,,46.74094313072881,339.90005813089374,691.9146404326011,-352.0145823017074,3004029.55,0.4527761719254726,False,False,False,False
